node_id,mondo_definition,t-SNE 1,t-SNE 2
100094,"A syndrome of cyclic vomiting associated with cannabis use. Fourteen diagnostic characteristics have been identified, and the frequency of major characteristics is as follows: history of regular cannabis for any duration of time (100%), cyclic nausea and vomiting (100%), resolution of symptoms after stopping cannabis (96.8%), compulsive hot baths with symptom relief (92.3%), male predominance (72.9%), abdominal pain (85.1%), and at least weekly cannabis use (97.4%). Supportive care with intravenous fluids, dopamine antagonists, topical capsaicin cream, and avoidance of narcotic medications has shown some benefit in the acute setting. Cannabis cessation appears to be the best treatment.",-2.8028998,0.18214828
100095,"Autosomal recessive neurodegenerative disorder with onset in the first years of life following normal early development, with cyclic episodic deterioration in response to stress, such as infection or febrile illness. The severity is highly variable. The cause is mutations in the ADPRHL2 gene.",6.1973658,6.536699
100096,A disease caused by infection with severe acute respiratory syndrome coronavirus 2.,-3.8059957,0.27447712
1001,A rare type of pneumoconiosis caused by long standing exposure to barium dust. It is characterized by the formation of fine dense lesions in the lung parenchyma. The lesions do not affect the lung function and disappear without treatment after the exposure to barium dust stops.,-1.1151773,-5.6035604
10010,"Schinzel-Giedion syndrome (SGS) is an ectodermal dysplasia syndrome chiefly characterized by a distinctive facial dysmorphism, hydronephrosis, severe developmental delay, typical skeletal malformations, and genital and cardiac anomalies.",9.627237,2.354131
100100,"Myopathy caused by pathogenic variants in SELENON that is congenital or present early in childhood with neonatal hypotonia, delayed motor development, axial muscle weakness, scoliosis, and significant respiratory involvement. Spinal rigidity of varying severity is often present.",-0.6791102,-8.974801
100103_100102_100104_100101_8824,"Fetal akinesia deformation sequence (FADS) is a condition characterized by decreased fetal movement (fetal akinesia) as well as intra-uterine growth restriction (IUGR), multiple joint contractures (arthrogryposis), facial anomalies, underdevelopment of the lungs (pulmonary hypoplasia) and other developmental abnormalities. It is generally accepted that this condition is not a true diagnosis or a specific syndrome, but rather a description of a group of abnormalities resulting from fetal akinesia. About 30% of affected individuals are stillborn; many liveborn infants survive only a short time due to complications of pulmonary hypoplasia. FADS may be inherited in an autosomal recessive manner in some cases and may sometimes be caused by mutations in the RAPSN or DOK7 genes.",8.188343,3.3827093
100105,"An autosomal recessive disorder resulting from fragility of cerebral vessels causing an increased risk of intracranial bleeding. The resultant phenotype is highly variable depending on timing and location of the intracranial bleed. Some patients may have onset in utero or early infancy, with subsequent global developmental delay, spasticity, and porencephaly on brain imaging. Other patients may have normal or mildly delayed development with sudden onset of intracranial hemorrhage causing acute neurologic deterioration.",4.779596,-6.869214
100106,"A form of age-related epileptic encephalopathy, characterized by the onset of seizures within the first 4 weeks of life that can be generalized or lateralized, independent of the sleep cycle, and that can result in frequent seizures per day, leading to psychomotor impairment and death.",-8.507148,4.251675
100107,"Non-neonatal early-onset epileptic encephalopathy is a form an of age-related epileptic encephalopathies, characterized by the onset of seizures later than the first 4 weeks of life but within the first three months. Seizures can be generalized or lateralized, independent of the sleep cycle and can occur multiple times per day, leading to psychomotor impairment and death.",-5.1737394,7.720001
100108,"TPM3-related myopathy is a disorder of the musculoskeletal system that covers a wide spectrum of phenotypes and is caused by pathogenic variants in the skeletal muscle γ-Tropomyosin gene. These variants lead to a variety of overlapping adult onset and congenital myopathies characterized by muscle weakness, hypotonia, motor delay, myopathic facies, scoliosis, and sometimes respiratory involvement. Histologic findings on skeletal muscle biopsy are variable with nemaline and intranuclear bodies, cap-like lesions, fiber-type disproportion, and dystrophic features even in patients with the same mutation.",-3.283066,8.180268
10011,"Schizencephaly is a rare congenital cerebral malformation characterized by the presence of linear clefts in one or both hemispheres of the brain, extending from the lateral ventricles to the pial surface of the cortex, and that lead to a variety of neurological symptoms such as epilepsy, motor deficits, and psychomotor retardation.",9.521957,1.2916337
100110,,-4.7854505,1.4869983
100112,"A disorder of a single peroxisomal protein, acyl-CoA binding domain containing protein 5, which forms a contact site between the peroxisomes and the ER. The deficiency is characterized by elevated blood very long-chain fatty acids (VLCFAs), retinal dystrophy, cerebral white matter disease and psychomotor delay.",-2.128414,2.5332384
100113,"Nonsyndromic deafness, keratitis-ichthyosis-deafness syndrome, and palmoplantar keratoderma with deafness have all been associated with autosomal dominant variants in GJB2. Reported cases share hearing loss as a feature, therefore it is likely that these phenotypes exist along a spectrum of the same disease, differing in severity of skin phenotypes.",-0.6789424,-8.9746
100115,"An acute onset of focal limb weakness that is associated mainly with gray matter abnormalities or CSF pleocytosis, but which is without an apparent cause.",-1.9471139,6.030145
100116,"A viral respiratory infection that is caused by the MERS coronavirus (MERS-CoV), which most often manifests with moderate to severe respiratory symptoms, including productive cough and shortness of breath, which can progress to pneumonia and acute respiratory distress syndrome.",-1.0495667,3.3931205
100120,An infectious disease where a pathogen is carried and transmitted by another organism that acts as disease vector.,-2.186768,-4.026799
100121,"Any congenital myopathy in which the cause of the disease is a mutation in the SCN4A gene. It include is a spectrum of autosomal recessive disorders including congenital myasthenic syndrome, fetal hypokinesia, and congenital myopathy.",-4.664696,4.7115216
100124,"NAA10-related syndrome is an X-linked syndromic intellectual disability in which the cause of the disease is a mutation in the NAA10 gene. Patients with variants in the NAA10 gene demonstrate symptoms such as developmental delay, intellectual disability, autism spectrum disorder, hypotonia, facial dysmorphism, cardiac anomalies, and/or skeletal anomalies.",-6.715025,6.7545304
100125,"A perceptual disorder caused by intoxication with hallucinogen drugs, especially LSD. It is characterized by the recurrence of perceptive disturbances that first develop during intoxication. The contents of the perception and visual imagery range extensively and symptoms may include visual disturbances, hallucinations, and psychoses.",-4.688835,0.53587043
100126,"An inborn error of proline/orinthine metabolism that covers a wide spectrum of phenotypes and is caused by pathogenic variants in the aldehyde dehydrogenase 18 family member A1 (ALDH18A1) gene. These variants lead to a variety of neurocutaneous and motor syndromes characterized by cutis laxa, connective tissue weakness, facial dysmorphism, growth restriction, developmental delay, cataracts, hypotonia, hypertonia, and amyotrophy.",-5.0587068,7.31314
100128,The simultaneous infection of a host by multiple pathogen species.,-0.68375134,-6.140595
100129,"A cystic malformation that is characterized by extraparenchymal, nonneoplastic accumulations of fluid with density similar to that of cerebrospinal fluid.",6.107541,-3.4387534
10013,Schneckenbecken dysplasia (or chondrodysplasia with snail-like pelvis) is a prenatally lethal spondylodysplastic dysplasia.,7.8742213,2.0198417
100130,"A very severe form of acute pulmonary failure secondary to capillary permeability impairment. The symptoms include dyspnea, hypotension and multivisceral failure. The disease is characterized by bilateral pulmonary infiltrates and severe hypoxemia due to increased alveolar-capillary permeability. The severity depends on the degree of alveolar epithelial injury, with a mortality rate of 30-50%.",2.5788171,2.269118
100131,"Acute respiratory distress syndromet that occurs in pediatric patients and includes findings of new infiltrates (unilateral or bilateral) consistent with acute parenchymal disease, edema not fully explained by fluid overload or cardiac failure, and may present as new acute lung disease in setting of chronic lung disease and/or heart disease, and perinatal lung disease is excluded.",-1.2615092,-1.5508206
100132,An adenosquamous carcinoma that arises from the intrahepatic bile ducts.,-2.7524164,3.8993561
100133,"A type of mitochondrial disease charcterized by macrocephaly (large head) with progressive leukodystrophy, encephalopathy, hypertrophic cardiomyopathy, myopathy, liver disease, Leigh syndrome, Leber hereditary optic neuropathy, and some forms of Parkinson disease. The disease is caused by mutations in any of many genes and the inheritance pattern depends on the responsible gene.",6.3117733,7.237999
100134,,-3.8432941,8.0307665
100135,"Dravet syndrome is a channelopathy with epilepsy of with onset during the first year of life, typically 4-5 months, characterized by status epilepticus and a variety of drug-resistant seizures often induced by fever, presenting in previously healthy children, and which frequently leads to cognitive and motor impairment. Dravet differs from other channelopathies usually due to a mutation in SCN1A.",1.641321,6.4572806
100137,Accelerated aging syndromes often caused by inheritable gene mutations resulting in decreased telomere lengths.,-5.4287095,5.765521
100138,"A mitochondrial myopathy caused by defects in the MICOS subunit gene APOO (MIC26). Modelling in yeast and flies demonstrate an inability to insert MICOS complex into the inner mitohondrial membrane. Associated symptoms include, lactic acidosis, cognitive impairment and autistic features.",-4.6043572,4.4965467
10014,"Craniometadiaphyseal dysplasia, wormian bone type is an extremely rare craniotubular bone dysplasia syndrome described in fewer than 10 patients to date. Clinical manifestations include macrocephaly, frontal bossing, malar hypoplasia, prominent mandible and dental hypoplasia. Other skeletal anomalies include abnormal bone modeling in tubular bones, multiple wormian bones and deformities of chest, pelvis and elbows. An increased risk of fractures is noted.",8.773645,1.408084
100144,"A tubulinopathy with material basis in TUBB2B that is characterized by variations in R390Q, quadrupedal locomotion, cerebellar hypoplasia and does not have basal ganglia malformations.",-3.2866347,4.285909
100146,"Variants in the gene ATP6AP2 have been associated with a multitude of diseases, including X-linked syndromic ID Hedera type, X-linked parkinsonism-spasticity syndrome, and congenital disorder of glycosylation type 2R. Phenotypes include global developmental delay, intellectual disability, progressive neurologic decline, spasticity, seizures, infantile onset of liver failure, recurrent infections, dysmorphic features, and features of parkinsonism (rigidity, resting tremor, bradykinesia). These phenotypes do not appear in all individuals with one of the above disease assertions, but many are overlapping phenotypes.",-5.3483152,7.3671956
100147,"A syndromic intellectual disability disorder that is characterized by significant neurodevelopmental disabilities with limited to absent speech, behavioral issues, and craniofacial anomalies. Most distinctive features are neurodevelopmental with invariably severely limited speech, cleft or high arched palate, dental anomalies (crowding, macrodontia, abnormal shape), and behavioral issues with or without bone or brain anomalies.",-7.0427833,7.3961444
100148,"A complex neurodevelopmental disorder that is transmitted via X-linked inheritance, and is characterized by intellectual disability, autism and epilepsy.",-5.2199106,7.4401693
100150,,-3.1324246,8.4983225
100151_9066_18467,"An autosomal recessive condition caused by mutation(s) in the CTNS gene, encoding cystinosin. It is a sub-type of cystinosis, in which accumulation of cystine in the kidney results in renal dysfunction.",6.681968,5.7644706
100152,Any dyskeratosis congenita in which the cause of the disease is a mutation in the DKC1 gene.,-5.84387,5.294081
100157_100156_9853,"An autosomal recessive disorder characterized by onset of megaloblastic anemia associated with decreased serum vitamin B12 (cobalamin, Cbl) in infancy or early childhood. Low molecular weight (LMW) proteinuria is frequently present, but usually occurs later and is usually mild or subclinical. Patients often present with vague symptoms, including failure to thrive, loss of appetite, fatigue, lethargy, and/or recurrent infections. Treatment with vitamin B12 results in sustained clinical improvement of the anemia. The proteinuria is nonprogressive, and affected individuals do not have deterioration of kidney function; correct diagnosis is important to prevent unnecessary treatment. The disorder results from a combination of vitamin B12 deficiency due to selective malabsorption of the vitamin, and impaired reabsorption of LMW proteins in the proximal renal tubule. These defects are caused by disruption of the AMN/CUBN complex that forms the 'cubam' receptor responsible for intestinal uptake of B12/GIF (CBLIF).",4.683359,-4.0147667
100160,"An acute disease characterized by severe ketoacidosis in the absence of diabetes mellitus and occuring in individuals with a history of prolonged excessive alcohol consumption. Disease manifestations include nausea, intractable vomiting, and abdominal pain. When treated, AKA resolves rapidly and completely with no apparent sequelae.",-3.3541489,6.3097954
100161,"Renal tubular acidosis (RTA) that is caused by a generalized transport abnormality of the distal tubule. The transport of electrolytes such as sodium, chloride, and potassium that normally occurs in the distal tubule is impaired. This form is distinguished from classical distal RTA and proximal RTA because it results in high levels of potassium in the blood instead of low levels.",-0.6788277,-8.974398
100163,"A inflammatory syndrome in children infected by the SARS-CoV-2 with similarities to Kawasaki disease. Clinical manifestations range from fever and inflammation to myocardial injury, shock, and development of coronary artery aneurysms.",-4.088942,-2.5501757
100164_16391,"Neonatal diabetes mellitus presents as hyperglycemia, failure to thrive and, in some cases, dehydration and ketoacidosis which may be severe with coma, in a child within the first months of life.",4.1641774,4.44648
10017,"A rare, inherited or acquired syndrome characterized by the presence of histiocytes in the bone marrow which contain granules stained blue with hematoxylin-eosin stain, mild thrombocytopenia and purpura, and splenomegaly.",4.2678156,3.243071
100175,"A disorder of the musculoskeletal system caused by pathogenic variants in the TTN gene encoding the titin protein expressed in striated muscle. These variants are associated with a variety of overlapping congenital and adult-onset myopathies characterized by non-progressive or progressive neck, axial, and limb weakness, joint contractures, early-onset respiratory insufficiency, facial weakness, congenital cardiac anomalies and/or early-onset dilated cardiomyopathy. Histologic findings on skeletal muscle biopsy reveal a wide range of structural abnormalities and can include increased internalized and central nuclei, minicores, and dystrophic changes.",-3.2363794,8.248006
100176,"A genetic disorder associated with variation(s) in the AP4 genes: AP4B1, AP4E1, AP4M1, and AP4S1. The phenotypes observed in individuals with genetic variants in these genes are often complex and include intellectual disability, spastic paraplegia, microcephaly, brain abnormalities, and seizures.",-3.9216495,-6.684159
10018,,7.9929943,-3.5164785
100184,"A disease characterized by a deficiency in GTP cyclohydrolase I, which leads to a consequent reduction in BH4 and reduces the activity of three BH4-cofactor dependent enzymes - phenylalanine hydroxylase, tyrosine hydroxylase, and tryptophan hydroxylase. GTP cyclohydrolase I deficiency encompasses a spectrum of disease that includes autosomal dominant and autosomal recessive forms, with severity correlating with the residual enzyme activity. Individuals who are heterozygous for pathogenic variants in GCH1 have symptoms ranging from none (due to reduced penetrance) to dopa-responsive dystonia, which is the most common presentation in symptomatic cases, to rarer neurological presentations such as adult-onset \",-4.6747546,8.109124
100185,An inflammatory condition that arises after initiating antiretroviral therapy (ART) therapy in HIV-infected patients that results from restored immunity to specific infectious or non-infectious antigens.,-1.9022883,-0.66953874
100186,,5.2312613,5.833143
100188,A hypoalphalipoproteinemia that is has its basis in the disruption of ApoA-I and ApoC-III.,-1.1145334,-6.50049
100189,"A rare lipoprotein metabolism disorder characterized biochemically by complete absence of apolipoprotein AI and extremely low plasma high density lipoprotein (HDL) cholesterol, and clinically by corneal opacities and xanthomas complicated with premature coronary heart disease (CHD).",2.3462555,-5.6056275
10019,,6.528883,-2.4044178
100192,A liver disease characterized by the liver losing or has lost all of its function.,0.9756192,4.551262
100193,"Liver failure that develops slowly and gradually for some time, possibly for years, often as the result of cirrhosis, or malnutrition.",1.5967675,6.3696103
100194,"A severe early presentation of osteoporosis in which young women experience low trauma or spontaneous fractures, most commonly vertebral fractures, during late pregnancy or lactation.",-1.5258962,-1.9213837
