idx,id,name,PDB ID,UniProt Accession
1190.0,10038,PARP2,3KCZ,Q9UGN5
1195.0,10039,PARP3,2EOC,Q9Y6F1
1195.0,10039,PARP3,4L7L,Q9Y6F1
1196.0,1004,CDH6,3LND,P97326
1197.0,10040,TOM1L1,3RRU,O75674
1492.0,10043,TOM1,2N9D,O60784
1492.0,10043,TOM1,1ELK,O60784
1496.0,10044,SH2D3C,3T6G,Q8N5H7
1496.0,10044,SH2D3C,3T6G,Q8N5H7
1538.0,1005,CDH7,6CGS,Q8BM92
1743.0,100506658,OCLN,1XAW,Q16625
1743.0,100506658,OCLN,3G7C,Q16625
1989.0,10054,UBA2,3ONG,P52488
1989.0,10054,UBA2,2PX9,Q9UBT2
1990.0,10055,SAE1,3KYD,Q9UBE0
1990.0,10055,SAE1,6CWZ,Q9UBE0
1990.0,10055,SAE1,3KYC,Q9UBE0
1990.0,10055,SAE1,3KYD,Q9UBE0
1994.0,10058,ABCB6,3NHB,Q9NP58
1995.0,10059,DNM1L,5WP9,O00429
1995.0,10059,DNM1L,3W6N,O00429
1995.0,10059,DNM1L,4BEJ,O00429
1996.0,1006,CDH8,2A62,P97291
1996.0,1006,CDH8,1ZXK,P97291
2127.0,10063,COX17,2RNB,Q14061
2127.0,10063,COX17,1U97,Q12287
2165.0,10072,DPP3,3T6J,Q9NY33
2166.0,10073,SNUPN,1XK5,O95149
2167.0,10075,HUWE1,3G1N,Q7Z6Z7
2167.0,10075,HUWE1,5LP8,Q7Z6Z7
2167.0,10075,HUWE1,6FYH,Q7Z6Z7
2178.0,1008,CDH10,6CG6,P70408
2182.0,100820829,MYZAP,2KXS,P0CAP1
2183.0,10083,USH1C,1X5N,Q9Y6N9
2183.0,10083,USH1C,3K1R,Q9Y6N9
2183.0,10083,USH1C,5F3X,Q9Y6N9
2183.0,10083,USH1C,3K1R,Q9Y6N9
2183.0,10083,USH1C,2KBQ,Q9Y6N9
2183.0,10083,USH1C,2KBS,Q9Y6N9
2183.0,10083,USH1C,1V6B,Q9ES64
2184.0,10084,PQBP1,4CDO,O60828
2219.0,10085,EDIL3,4D90,O43854
2774.0,1009,CDH11,2A4C,P55288
2774.0,1009,CDH11,6CGB,P55288
2774.0,1009,CDH11,2A4E,P55288
2782.0,10096,ACTR3,2P9P,P61157
2782.0,10096,ACTR3,3ULE,P61157
2782.0,10096,ACTR3,3DXK,P61157
2782.0,10096,ACTR3,3UKR,P61157
2782.0,10096,ACTR3,1K8K,P61157
2782.0,10096,ACTR3,4JD2,P61157
2782.0,10096,ACTR3,2P9I,P61157
2782.0,10096,ACTR3,2P9I,P61157
2802.0,100996569,NAMA,3GR7,Q5KXG9
2802.0,100996569,NAMA,1Z48,P54550
2827.0,101,ADAM8,4DD8,P78325
2831.0,10102,TSFM,2CP9,P43897
2833.0,10105,PPIF,3R49,P30405
2841.0,10106,CTDSP2,2Q5E,O14595
2873.0,10111,RAD50,3THO,Q9X1X1
2873.0,10111,RAD50,1II8,P58301
2873.0,10111,RAD50,1F2U,P58301
2874.0,10112,KIF20A,5ND4,P97329
2874.0,10112,KIF20A,5ND7,P97329
2875.0,10113,PREB,5TF2,Q9HCU5
2882.0,1012,CDH13,2V37,P55290
2882.0,1012,CDH13,3K5R,Q9WTR5
2882.0,1012,CDH13,3K6I,P33150
2882.0,1012,CDH13,3K5S,P33150
2882.0,1012,CDH13,3K6F,Q9WTR5
2884.0,10121,ACTR1A,6F1U,F2Z5G5
2884.0,10121,ACTR1A,5NW4,F2Z5G5
2884.0,10121,ACTR1A,6F38,F2Z5G5
2884.0,10121,ACTR1A,6F3A,F2Z5G5
2884.0,10121,ACTR1A,6F1T,F2Z5G5
2884.0,10121,ACTR1A,5NW4,F2Z5G5
2884.0,10121,ACTR1A,6F1T,F2Z5G5
2884.0,10121,ACTR1A,6F38,F2Z5G5
2884.0,10121,ACTR1A,6F1U,F2Z5G5
2884.0,10121,ACTR1A,6F3A,F2Z5G5
2884.0,10121,ACTR1A,6F1U,F2Z5G5
2884.0,10121,ACTR1A,5NW4,F2Z5G5
2884.0,10121,ACTR1A,5NW4,F2Z5G5
2884.0,10121,ACTR1A,6F38,F2Z5G5
2884.0,10121,ACTR1A,5NW4,F2Z5G5
2892.0,10125,RASGRP1,4L9M,O95267
2901.0,10130,PDIA6,3VWW,Q15084
2901.0,10130,PDIA6,3W8J,Q15084
2901.0,10130,PDIA6,4GWR,Q15084
2901.0,10130,PDIA6,2DML,Q922R8
2901.0,10130,PDIA6,1X5D,Q15084
2902.0,10131,TRAP1,4Z1F,Q12931
2902.0,10131,TRAP1,5F5R,Q12931
2903.0,10133,OPTN,3VTW,Q96CV9
2903.0,10133,OPTN,5EOF,Q96CV9
2904.0,10134,BCAP31,4JZL,P51572
2908.0,10135,NAMPT,4KFN,P43490
2914.0,10140,TOB1,2Z15,P50616
2914.0,10140,TOB1,5CI9,P50616
2932.0,10146,G3BP1,4FCJ,Q13283
2933.0,10147,SUGP2,1X4P,Q8IX01
2940.0,10152,ABI2,2ED0,Q9NYB9
2942.0,10154,PLXNC1,3KUZ,O60486
2943.0,10155,TRIM28,2RO1,Q13263
2943.0,10155,TRIM28,1FP0,Q13263
2949.0,10160,FARP1,4H6Y,Q9Y4F1
2954.0,10165,SLC25A13,4P5W,Q9UJS0
2963.0,1017,CDK2,2BPM,P24941
2963.0,1017,CDK2,5UQ3,P24941
2963.0,1017,CDK2,3DDQ,P24941
2963.0,1017,CDK2,3QHW,P24941
2963.0,1017,CDK2,1W98,P24941
2963.0,1017,CDK2,1BUH,P24941
2963.0,1017,CDK2,1JSU,P24941
2963.0,1017,CDK2,6ATH,P24941
2969.0,10174,SORBS3,2NWM,O60504
2969.0,10174,SORBS3,2YUP,O60504
2969.0,10174,SORBS3,2DLM,O60504
2977.0,10181,RBM5,2LKZ,P52756
2977.0,10181,RBM5,5MFY,P52756
2980.0,10188,TNK2,1U54,Q07912
2980.0,10188,TNK2,4HZS,Q07912
2982.0,1019,CDK4,3G33,P11802
3296.0,10196,PRMT3,1F3L,O70467
3296.0,10196,PRMT3,4RYL,O60678
3301.0,102,ADAM10,2AO7,Q10741
3301.0,102,ADAM10,6BDZ,O14672
3302.0,1020,CDK5,4AU8,Q00535
3302.0,1020,CDK5,1UNL,Q00535
3302.0,1020,CDK5,1H4L,Q00535
3306.0,10203,CALCRL,3N7S,Q16602
3306.0,10203,CALCRL,3N7P,Q16602
3307.0,10204,NUTF2,1OUN,P61972
3314.0,10209,EIF1,2IF1,P41567
3315.0,1021,CDK6,1G3N,Q00534
3315.0,1021,CDK6,1G3N,Q00534
3315.0,1021,CDK6,1BLX,Q00534
3323.0,102157402,AK6,5JZV,Q9Y3D8
3323.0,102157402,AK6,3IIK,Q9Y3D8
3325.0,10217,CTDSPL,2HHL,O15194
3328.0,1022,CDK7,1UA2,P50613
3329.0,10220,GDF11,5E4G,O95390
3330.0,10221,TRIB1,6DC0,Q96RU8
3330.0,10221,TRIB1,5CEK,Q96RU8
3338.0,10228,STX6,1LVF,Q63635
3346.0,10235,RASGRP2,2MA2,Q7LDG7
3346.0,10235,RASGRP2,6AXF,Q7LDG7
3351.0,1024,CDK8,4F7N,P49336
3351.0,1024,CDK8,4CRL,P49336
3355.0,10243,GPHN,1IHC,Q03555
3355.0,10243,GPHN,2FU3,Q03555
3492.0,10247,RIDA,1QU9,P0AF93
3492.0,10247,RIDA,1QAH,P52759
3492.0,10247,RIDA,1ONI,P52758
3492.0,10247,RIDA,1NQ3,P80601
3492.0,10247,RIDA,1QD9,P37552
3495.0,1025,CDK9,3MIA,P50750
3495.0,1025,CDK9,3MIA,P50750
3495.0,1025,CDK9,6GZH,P50750
3495.0,1025,CDK9,3MIA,P50750
3496.0,10250,SRRM1,1MP1,Q8IYB3
3516.0,10266,RAMP2,3AQF,O60895
3517.0,10267,RAMP1,2YX8,O60894
3520.0,10269,ZMPSTE24,6BH8,O75844
3527.0,102723169,IGHV1-69D,5CBA,A0A0B4J2H0
3607.0,10273,STUB1,2C2L,Q9WUD1
3609.0,10276,NET1,4XH9,Q7Z628
3609.0,10276,NET1,3EO2,Q7Z628
3610.0,10277,UBE4B,5O75,O95155
3614.0,10280,SIGMAR1,6DK0,Q99720
3623.0,10283,CWC27,4R3E,Q6UX04
3623.0,10283,CWC27,2HQ6,Q6UX04
3624.0,10284,SAP18,4A90,O55128
3625.0,10285,SMNDC1,4A4F,O75940
3630.0,1029,CDKN2A,2A5E,P42771
3631.0,10290,SPEG,4NCZ,Q9KL03
3631.0,10290,SPEG,4R9M,P0A951
3631.0,10290,SPEG,3TTH,Q83B40
3631.0,10290,SPEG,6D72,A0A5P8YIA2
3631.0,10290,SPEG,4MI4,Q9KL03
3631.0,10290,SPEG,1U2H,Q15772
3631.0,10290,SPEG,6CY6,P0A951
3632.0,10291,SF3A1,2DT6,Q15459
3635.0,10295,BCKDK,4DZY,Q00972
3638.0,10298,PAK4,4JDH,O96013
3638.0,10298,PAK4,2Q0N,O96013
3638.0,10298,PAK4,4FIE,O96013
3640.0,103,ADAR,1QGP,P55265
3640.0,103,ADAR,5ZUP,P55265
3640.0,103,ADAR,2L54,P55265
3640.0,103,ADAR,1QBJ,P55265
3640.0,103,ADAR,1XMK,P55265
3641.0,1030,CDKN2B,1D9S,P55271
3648.0,10307,APBB3,2DYQ,O95704
3659.0,10314,LANCL1,3E73,O43813
3665.0,1032,CDKN2D,1BD8,P55273
3669.0,10324,KLHL41,2WOZ,Q9ER30
3672.0,10327,AKR1A1,4GAC,Q9JII6
3672.0,10327,AKR1A1,2ALR,P14550
3672.0,10327,AKR1A1,1HQT,P50578
3676.0,1033,CDKN3,1FPZ,Q16667
3680.0,10333,TLR6,4OM7,Q9Y2C9
3691.0,10344,CCL26,1G2S,Q9Y258
3701.0,10352,WARS2,5EKD,Q9UGM6
3707.0,1036,CDO1,5EZW,P21816
3707.0,1036,CDO1,2IC1,Q16878
3717.0,10367,MICU1,4NSC,Q9BPX6
3732.0,10370,CITED2,1R8U,Q99967
3733.0,10371,SEMA3A,1Q47,O08665
3733.0,10371,SEMA3A,4GZ8,O08665
3749.0,10376,TUBA1B,5IJ0,P68363
3749.0,10376,TUBA1B,6BJC,Q2XVP4
3749.0,10376,TUBA1B,3JAL,Q2XVP4
3749.0,10376,TUBA1B,6B0I,Q2XVP4
3749.0,10376,TUBA1B,5CA0,Q2XVP4
3749.0,10376,TUBA1B,6CVJ,Q2XVP4
3750.0,10379,IRF9,5OEN,Q61179
3750.0,10379,IRF9,5OEN,Q61179
3752.0,10380,BPNT1,2WEF,O95861
3752.0,10380,BPNT1,1JP4,Q9Z1N4
3759.0,10389,SCML2,2VYT,Q9UQR0
3765.0,10392,NOD1,2B1W,Q9Y239
3765.0,10392,NOD1,4E9M,Q9Y239
3765.0,10392,NOD1,2NSN,Q9Y239
3765.0,10392,NOD1,2DBD,Q9Y239
3768.0,10395,DLC1,2DKY,Q96QB1
3768.0,10395,DLC1,3KUQ,Q96QB1
3768.0,10395,DLC1,2GYT,Q96QB1
3768.0,10395,DLC1,2KAP,Q96QB1
3773.0,104,ADARB1,5ED1,P78563
3776.0,10401,PIAS3,4MVT,Q9Y6X2
3778.0,10403,NDC80,5TCS,P40460
3778.0,10403,NDC80,5TD8,P40460
3778.0,10403,NDC80,2IGP,O14777
3791.0,10419,PRMT5,5FA5,O14744
3791.0,10419,PRMT5,4G56,Q6NUA1
3791.0,10419,PRMT5,5FA5,O14744
3791.0,10419,PRMT5,4G56,Q6NUA1
3793.0,10421,CD2BP2,1L2Z,O95400
3801.0,10427,SEC24B,3EH1,O95487
3816.0,10434,LYPLA1,1FJ2,O75608
3840.0,10436,EMG1,2V3J,Q06287
3840.0,10436,EMG1,5FAI,Q92979
3844.0,10439,OLFM1,4XAT,Q99784
3844.0,10439,OLFM1,5AMO,O88998
3845.0,1044,CDX1,5LUX,P47902
3855.0,10447,FAM3C,5LC3,Q91VU0
3855.0,10447,FAM3C,5LC2,Q92520
3861.0,10449,ACAA2,4C2K,P42765
3862.0,1045,CDX2,6ES3,Q99626
3863.0,10450,PPIE,2KU7,Q9UNP9
3863.0,10450,PPIE,2CQB,Q9UNP9
3863.0,10450,PPIE,3MDF,Q9UNP9
3863.0,10450,PPIE,3UCH,Q9UNP9
3869.0,10454,TAB1,5NZZ,Q15750
3869.0,10454,TAB1,2POM,Q15750
3869.0,10454,TAB1,4GS6,Q15750
3869.0,10454,TAB1,2POP,Q15750
3871.0,10455,ECI2,2CQU,O75521
3874.0,10458,BAIAP2,1WDZ,Q9UQB8
3874.0,10458,BAIAP2,3RNJ,Q9UQB8
3877.0,10460,TACC3,5LXO,Q9Y6A5
3878.0,10461,MERTK,5U6C,Q12866
3880.0,10463,SLC30A9,2ENK,Q6PML9
3900.0,1048,CEACAM5,1E07,P06731
3902.0,10481,HOXB13,5EDN,Q92826
3902.0,10481,HOXB13,2CRA,Q92826
3903.0,10482,NXF1,1GO5,Q9UBU9
3903.0,10482,NXF1,4WYK,Q9UBU9
3903.0,10482,NXF1,1KOH,Q9UBU9
3905.0,10484,SEC23A,2NUP,Q15436
3905.0,10484,SEC23A,5KYW,Q15436
3905.0,10484,SEC23A,2NUP,Q15436
3905.0,10484,SEC23A,2NUP,Q15436
3908.0,10487,CAP1,1K8F,Q01518
3916.0,10494,STK25,2XIK,O00506
3919.0,10498,CARM1,5IS8,Q9WVG6
3919.0,10498,CARM1,3B3J,Q4AE70
3919.0,10498,CARM1,4IKP,Q86X55
3920.0,10499,NCOA2,4E2J,Q15596
3922.0,1050,CEBPA,1NWQ,P05554
3926.0,10507,SEMA4D,3OL2,Q92854
3926.0,10507,SEMA4D,1OLZ,Q92854
3928.0,1051,CEBPB,1H89,P17676
3928.0,1051,CEBPB,1HJB,P17676
3928.0,1051,CEBPB,1H88,P17676
3928.0,1051,CEBPB,1H8A,P17676
3928.0,1051,CEBPB,6MG1,P17676
3935.0,10519,CIB1,1DGU,Q99828
3935.0,10519,CIB1,2LM5,Q99828
3942.0,10524,KAT5,4QQG,Q92993
3942.0,10524,KAT5,2OU2,Q92993
3942.0,10524,KAT5,2EKO,Q92993
3949.0,1053,CEBPE,3T92,Q15744
3951.0,10533,ATG7,3VH2,P38862
3951.0,10533,ATG7,3VX8,Q94CD5
3951.0,10533,ATG7,3T7E,P38862
3951.0,10533,ATG7,3T7H,P38862
3951.0,10533,ATG7,3VX8,Q94CD5
3953.0,10535,RNASEH2A,3P56,O75792
3953.0,10535,RNASEH2A,3P56,O75792
3953.0,10535,RNASEH2A,3P5J,Q9CWY8
3953.0,10535,RNASEH2A,3KIO,Q9CWY8
3953.0,10535,RNASEH2A,3KIO,Q9CWY8
4006.0,10539,GLRX3,2YAN,O76003
4006.0,10539,GLRX3,2DIY,O76003
4006.0,10539,GLRX3,2WZ9,O76003
4006.0,10539,GLRX3,1WIK,Q9CQM9
4006.0,10539,GLRX3,3ZYW,O76003
4012.0,10542,LAMTOR5,5Y38,O43504
4012.0,10542,LAMTOR5,3MS6,O43504
4015.0,10549,PRDX4,3VWU,O08807
4015.0,10549,PRDX4,3TJJ,Q13162
4015.0,10549,PRDX4,2PN8,Q13162
4015.0,10549,PRDX4,4RQX,Q13162
4015.0,10549,PRDX4,3VWV,O08807
4020.0,10553,HTATIP2,2BKA,Q9BUP3
4020.0,10553,HTATIP2,2FMU,Q9Z2G9
4026.0,10559,SLC35A1,6OH3,Q61420
4027.0,1056,CEL,1AKN,P30122
4027.0,1056,CEL,6H18,P19835
4031.0,10563,CXCL13,5L7M,O55038
4032.0,10564,ARFGEF2,3SWV,Q9Y6D5
4033.0,10565,ARFGEF1,5EE5,Q9Y6D6
4033.0,10565,ARFGEF1,3LTL,Q9Y6D6
4039.0,10570,DPYSL4,5NKS,O14531
4046.0,10577,NPC2,1NEP,P79345
4047.0,10578,GNLY,1L9L,P22749
4049.0,1058,CENPA,6BUZ,P49450
4049.0,1058,CENPA,3WTP,P49450
4049.0,1058,CENPA,3R45,P49450
4049.0,1058,CENPA,3AN2,P49450
4049.0,1058,CENPA,5ZBX,P49450
4049.0,1058,CENPA,5Z23,P49450
4049.0,1058,CENPA,6C0W,P49450
4049.0,1058,CENPA,3NQJ,P49450
4049.0,1058,CENPA,3R45,P49450
4049.0,1058,CENPA,6BUZ,P49450
4055.0,10587,TXNRD2,1ZDL,Q9JLT4
4056.0,10588,MTHFS,3HXT,P49914
4057.0,10589,DRAP1,1JFI,Q14919
4057.0,10589,DRAP1,1JFI,Q14919
4058.0,1059,CENPB,1UFI,P07199
4058.0,1059,CENPB,1HLV,P07199
4059.0,10590,SCGN,2Q4U,Q5XJX1
4060.0,10591,DNPH1,2KHZ,O35820
4060.0,10591,DNPH1,4KXN,O35820
4060.0,10591,DNPH1,4P5E,O43598
4061.0,10592,SMC2,4U4P,O95347
4061.0,10592,SMC2,4RSI,P38989
4061.0,10592,SMC2,4U4P,O95347
4061.0,10592,SMC2,3L51,Q8CG48
4061.0,10592,SMC2,3L51,Q8CG48
4061.0,10592,SMC2,4RSI,P38989
4062.0,10594,PRPF8,5XJC,Q6P2Q9
4062.0,10594,PRPF8,5O9Z,Q6P2Q9
4062.0,10594,PRPF8,5XJC,Q6P2Q9
4062.0,10594,PRPF8,5YZG,Q6P2Q9
4062.0,10594,PRPF8,5O9Z,Q6P2Q9
4062.0,10594,PRPF8,6AHD,Q6P2Q9
4062.0,10594,PRPF8,5YZG,Q6P2Q9
4062.0,10594,PRPF8,6ID1,Q6P2Q9
4062.0,10594,PRPF8,6ID0,Q6P2Q9
4062.0,10594,PRPF8,6AHD,Q6P2Q9
4062.0,10594,PRPF8,5Z58,Q6P2Q9
4062.0,10594,PRPF8,5Z56,Q6P2Q9
4062.0,10594,PRPF8,6ID1,Q6P2Q9
4062.0,10594,PRPF8,5Z57,Q6P2Q9
4062.0,10594,PRPF8,5MQF,Q6P2Q9
4062.0,10594,PRPF8,6ID1,Q6P2Q9
4062.0,10594,PRPF8,5Z56,Q6P2Q9
4062.0,10594,PRPF8,5XJC,Q6P2Q9
4062.0,10594,PRPF8,5YZG,Q6P2Q9
4062.0,10594,PRPF8,6AHD,Q6P2Q9
4062.0,10594,PRPF8,6AHD,Q6P2Q9
4062.0,10594,PRPF8,5O9Z,Q6P2Q9
4062.0,10594,PRPF8,5Z58,Q6P2Q9
4062.0,10594,PRPF8,5Z57,Q6P2Q9
4062.0,10594,PRPF8,6AHD,Q6P2Q9
4062.0,10594,PRPF8,5YZG,Q6P2Q9
4062.0,10594,PRPF8,3E9L,Q6P2Q9
4062.0,10594,PRPF8,5YZG,Q6P2Q9
4062.0,10594,PRPF8,5YZG,Q6P2Q9
4062.0,10594,PRPF8,6ID0,Q6P2Q9
4062.0,10594,PRPF8,5YZG,Q6P2Q9
4062.0,10594,PRPF8,6AHD,Q6P2Q9
4062.0,10594,PRPF8,6AHD,Q6P2Q9
4062.0,10594,PRPF8,4JKH,Q6P2Q9
4062.0,10594,PRPF8,5O9Z,Q6P2Q9
4062.0,10594,PRPF8,6AHD,Q6P2Q9
4062.0,10594,PRPF8,6ID0,Q6P2Q9
4062.0,10594,PRPF8,6ID1,Q6P2Q9
4062.0,10594,PRPF8,3LRU,Q6P2Q9
4062.0,10594,PRPF8,5MQF,Q6P2Q9
4065.0,10598,AHSA1,1X53,O95433
4068.0,10600,USP16,2I50,Q9Y5T5
4071.0,10603,SH2B2,1V5M,Q9JID9
4071.0,10603,SH2B2,1RPY,Q9Z200
4071.0,10603,SH2B2,1Q2H,O14492
4072.0,10605,PAIP1,3RK6,Q9H074
4073.0,10606,PAICS,2H31,P22234
4078.0,10610,ST6GALNAC2,6APJ,Q9UJ37
4082.0,10614,HEXIM1,3S9G,O94992
4098.0,10616,RBCK1,4DBG,Q9BYM8
4098.0,10616,RBCK1,5Y3T,Q9WUB0
4102.0,1062,CENPE,1T5C,Q02224
4102.0,1062,CENPE,5JVP,Q02224
4104.0,10621,POLR3F,2YU3,Q9H1D9
4104.0,10621,POLR3F,2DK5,Q9H1D9
4104.0,10621,POLR3F,2DK8,Q921X6
4106.0,10623,POLR3C,2XV4,Q9BUI4
4113.0,10630,PDPN,5XCV,Q86YL7
4113.0,10630,PDPN,5XCV,Q86YL7
4119.0,10636,RGS14,1WFY,P97492
4119.0,10636,RGS14,2JNU,O43566
4122.0,10641,NPRL2,6CES,Q8WTW4
4122.0,10641,NPRL2,6CES,Q8WTW4
4122.0,10641,NPRL2,6CES,Q8WTW4
4122.0,10641,NPRL2,6CET,Q8WTW4
4123.0,10642,IGF2BP1,2N8M,O42254
4123.0,10642,IGF2BP1,3KRM,Q9NZI8
4123.0,10642,IGF2BP1,6QEY,Q9NZI8
4125.0,10644,IGF2BP2,2CQH,Q9Y6M1
4126.0,10645,CAMKK2,5YV8,Q96RR4
4126.0,10645,CAMKK2,6CMJ,Q96RR4
5121.0,10652,YKT6,3KYQ,Q5EGY4
5123.0,10654,PMVK,3CH4,Q15126
5125.0,10656,KHDRBS3,5ELS,O75525
5125.0,10656,KHDRBS3,5ELT,O75525
5125.0,10656,KHDRBS3,5ELR,O75525
5125.0,10656,KHDRBS3,5EMO,O75525
5127.0,10658,CELF1,3NNH,Q92879
5127.0,10658,CELF1,3NNA,Q92879
5128.0,10659,CELF2,4LMZ,O95319
5129.0,1066,CES1,1MX5,P23141
5150.0,10667,FARS2,3TUP,O95363
5156.0,10672,GNA13,1ZCB,P27601
5156.0,10672,GNA13,3CX6,P27601
5157.0,10673,TNFSF13B,1OSG,Q9Y275
5157.0,10673,TNFSF13B,5Y9J,Q9Y275
5163.0,1068,CETN1,5D43,P41209
5175.0,1069,CETN2,2OBH,P41208
5175.0,1069,CETN2,2K2I,P41208
5175.0,1069,CETN2,1ZMZ,P41208
5175.0,1069,CETN2,1M39,P41208
5175.0,1069,CETN2,2GGM,P41208
5178.0,10691,GMEB1,1OQJ,Q9Y692
5261.0,1071,CETP,4F2A,P11597
5283.0,10717,AP4B1,2MJ7,Q9Y6B7
5289.0,10721,POLQ,5AGA,O75417
5289.0,10721,POLQ,4X0Q,O75417
5291.0,10724,OGA,5M7S,O60502
5292.0,10725,NFAT5,1IMH,O94916
5293.0,10726,NUDC,1VK6,P32664
5300.0,10733,PLK4,4N7V,O00444
5300.0,10733,PLK4,4N7Z,O00444
5300.0,10733,PLK4,4JXF,O00444
5302.0,10735,STAG2,4PJW,Q8N3U4
5311.0,10741,RBBP9,2QS9,O75884
5313.0,10743,RAI1,5BTH,Q5AAT0
5313.0,10743,RAI1,5ULJ,A3LNL5
5317.0,10747,MASP2,1SZB,O00187
5317.0,10747,MASP2,1NT0,Q9JJS8
5317.0,10747,MASP2,1ZJK,O00187
5317.0,10747,MASP2,3TVJ,O00187
5317.0,10747,MASP2,1Q3X,O00187
5319.0,10749,KIF1C,2G1L,O43896
5320.0,1075,CTSC,1JQP,P80067
5320.0,1075,CTSC,3PDF,P53634
5320.0,1075,CTSC,4CDF,P53634
5320.0,1075,CTSC,4OEM,P53634
5320.0,1075,CTSC,4OEL,P53634
5323.0,10753,CAPN9,2P0R,O14815
5327.0,10762,NUP50,2EC1,Q9UKX7
5329.0,10765,KDM5B,2EQY,Q80Y84
5333.0,10769,PLK2,4I6B,Q9NYY3
5353.0,10797,MTHFD2,5TC4,P13995
5368.0,10799,RPP40,6AHV,O75818
5369.0,108,ADCY2,1AB8,P26769
5370.0,1080,CFTR,4WZ6,P13569
5370.0,1080,CFTR,2PZF,P13569
5370.0,1080,CFTR,3SI7,P26361
5370.0,1080,CFTR,3GD7,P13569
5372.0,10801,SEPTIN9,5CYO,Q9UHD8
5374.0,10803,CCR9,5LWE,P51686
5380.0,1081,CGA,1QFW,P01215
5380.0,1081,CGA,1HRP,P01215
5380.0,1081,CGA,4MQW,P01215
5380.0,1081,CGA,1QFW,P01215
5380.0,1081,CGA,1QFW,P01215
5380.0,1081,CGA,1QFW,P01215
5380.0,1081,CGA,1QFW,P01215
5380.0,1081,CGA,1XWD,P01215
5380.0,1081,CGA,4AY9,P01215
5399.0,10840,ALDH1L1,1S3I,P28037
5399.0,10840,ALDH1L1,2BW0,O75891
5399.0,10840,ALDH1L1,3RHO,P28037
5400.0,10841,FTCD,2PFD,O88618
5400.0,10841,FTCD,1QD1,P53603
5403.0,10845,CLPX,1UM8,O25926
5403.0,10845,CLPX,1OVX,P0A6H1
5403.0,10845,CLPX,4I5O,P0A6H1
5404.0,10846,PDE10A,3HQY,Q9QYJ6
5404.0,10846,PDE10A,5I2R,Q9Y233
5408.0,10850,CCL27,2KUM,Q9Y4X3
5409.0,10855,HPSE,5LA7,Q9Y251
5409.0,10855,HPSE,5E9C,Q9Y251
5410.0,10856,RUVBL2,2CQA,Q9Y230
5412.0,10858,CYP46A1,3MDV,Q9Y6A2
5434.0,10881,ACTL7A,2XQN,Q9Y615
5442.0,10890,RAB10,5SZJ,P61026
5442.0,10890,RAB10,5LPN,P61026
5444.0,10892,MALT1,3V4L,Q2TBA3
5444.0,10892,MALT1,3K0W,Q9UDY8
5444.0,10892,MALT1,3V4O,Q9UDY8
5444.0,10892,MALT1,3BFO,Q9UDY8
5444.0,10892,MALT1,2G7R,Q9UDY8
5450.0,10899,JTB,2KJX,O76095
5453.0,10901,DHRS4,3O4R,Q9BTZ2
5453.0,10901,DHRS4,2ZAT,Q8WNV7
5459.0,10907,TXNL4A,1PQN,P83876
