gene_id,sequence
XP_060642847.1,NFKBIB
NP_001363896.1,MSN
KAK2112895.1,H2BC5
XP_021515214.1,ZNF707
XP_060619481.1,CDKN2D
NP_858059.1,ZNF263
XP_059744498.1,CYP4F22
XP_060696389.1,VPS35
XP_060688851.1,MRPL18
XP_060712903.1,ORC3
XP_060541026.1,AQP10
NP_081676.1,KIF1C
XP_060634629.1,IRF2
XP_060540616.1,PBX3
XP_060708050.1,PEX14
XP_060632892.1,NFYB
XP_060679617.1,WWP1
XP_060683417.1,ARMC8
NP_001273386.2,TRIM27
NP_076331.2,DSP
XP_060693713.1,LPCAT2
XP_060703498.1,TINAGL1
NP_036523.1,NR4A1
XP_060694003.1,IST1
XP_060683911.1,WASL
XP_060618508.1,ACO1
XP_060694914.1,RPL27A
NP_001302711.2,SNORD115-35
XP_060692923.1,MED7
XP_060543708.1,PTPRJ
XP_060704501.1,RETREG3
XP_060679457.1,RB1CC1
XP_060544986.1,HDAC7
XP_060695398.1,SNRPB2
NP_004351.1,PSEN1
2FVL_C,AKR1C4
NP_001344227.1,CCL3
6MV2_A,CYB5R3
XP_060621361.1,MAPK9
NP_001124492.1,GFAP
NP_001362740.1,SRSF1
XP_060469603.1,ZNF24
NP_001139357.1,DDX4
NP_031611.1,ANXA2
XP_060704041.1,MEA1
XP_060550458.1,ERC1
NP_775550.2,SMN2
NP_001300870.1,RAP1GDS1
XP_060549764.1,DMWD
XP_060687704.1,GINS1
XP_060538255.1,UBE2D1
XP_060462721.1,GLYAT
XP_060691009.1,FARP2
XP_060637965.1,RFTN1
NP_001257436.1,UBE2N
XP_060636342.1,RPL18
XP_060681499.1,CTNNAL1
XP_060704387.1,NF2
XP_060626183.1,DDX3X
XP_060541705.1,CBX3
WP_023634401.1,MAS1
XP_060543527.1,MYBPC3
XP_060699398.1,RANBP1
XP_060691753.1,NPR2
NP_001311330.1,SMAD2
XP_060712039.1,MED29
XP_060689559.1,BLZF1
XP_060694727.1,ARHGAP1
XP_060705240.1,POLR2F
XP_059906307.1,HSPA1B
XP_060620145.1,PTGES3
NP_032005.1,GABRA3
WP_224524498.1,CA11
XP_060684829.1,DDB1
XP_060621727.1,RBM6
XP_060701282.1,RAP1A
XP_060546624.1,BDP1
XP_060614155.1,CFL1
XP_060685798.1,FOXD2
XP_060686417.1,PATJ
XP_060498468.1,ZNF275
NP_001357994.1,FBXO47
NP_001116066.2,INHA
NP_001239322.1,UBD
NP_001243022.1,CREB5
XP_060697147.1,SURF2
XP_060544055.1,C2orf88
NP_001186225.1,F9
XP_060640222.1,CBLC
XP_060686639.1,RABGGTB
XP_060711931.1,NOP53
XP_060625651.1,RNH1
XP_060709624.1,TBC1D2B
XP_060703303.1,TMEM234
XP_060269427.1,A2M
XP_060690885.1,NCK1
XP_060710213.1,DNAJC9
XP_060688187.1,TAF9
XP_060698541.1,QRICH1
XP_060550176.1,GNB1
XP_060470137.1,ZNF165
XP_060642945.1,HSPA8
KAK1330889.1,DEFA1
3B6R_B,HBB
NP_001407884.1,REST
XP_060642384.1,ATP6V0C
XP_060682534.1,MED17
KAK2505804.1,RIMBP3
XP_060700460.1,TK1
XP_034280279.1,CATSPER1
XP_060463754.1,OXER1
XP_060636782.1,MPP3
1Z29_A,SULT1A1
NP_038861.2,JARID2
XP_034277356.1,CFB
XP_060691283.1,XPC
XP_060694398.1,CREB3L1
XP_060611244.1,NPTN
NP_001382091.1,CPE
XP_034267054.1,CASQ2
XP_060541154.1,AP1B1
NP_445901.1,HDAC4
NP_001407184.1,KCNE1
XP_060543476.1,CAPN3
XP_060682744.1,PDX1
XP_060682694.1,CRYL1
XP_060548227.1,STX7
WP_318147250.1,NIF3L1
XP_060545121.1,SNAP91
XP_060698688.1,EXOC4
NP_001398010.1,FTO
XP_060636762.1,LASP1
NP_778154.1,TICAM1
KAK2500991.1,TEX37
XP_060686782.1,PSMB1
NP_001113.2,PLIN2
NP_001405936.1,FCGR2B
XP_060685830.1,POMGNT1
XP_060682699.1,SAP18
XP_060703107.1,NFYC
XP_060478173.1,GJB5
XP_060686428.1,CDKN2C
Q04721.3,NOTCH2NLA
XP_060698949.1,LMO3
NP_001345707.1,FGFR2
NP_001186101.1,HOXA1
XP_060705784.1,ACAD11
XP_060618993.1,SHMT2
XP_060541078.1,CLK2
XP_060631473.1,UBE2W
XP_060546192.1,NOS1AP
XP_060623410.1,EIF4A2
XP_060703495.1,RBBP4
XP_060547617.1,SMARCD2
XP_060626633.1,NECTIN3
XP_060710104.1,TMEM214
NP_001120705.1,ZNF385A
XP_060545817.1,ANKS1A
P11661.3,MT-ND5
XP_060610290.1,ESR2
XP_060640572.1,GJB3
NP_001185996.1,KRT33A
XP_060711564.1,MAD2L1BP
XP_060705992.1,NUP153
NP_001347807.1,ETV5
XP_060634607.1,PDLIM3
XP_060693596.1,MLYCD
XP_060641068.1,HOMER3
XP_060691036.1,KLF15
XP_060620037.1,ACVR1B
XP_060687070.1,MPC1
XP_060694251.1,GOLM1
XP_060700764.1,SNX2
XP_060691776.1,MBD4
XP_012029607.2,KRT6A
XP_060621005.1,DOCK2
XP_060251969.1,CHI3L1
XP_060625675.1,CCDC138
NP_001392858.1,PIAS1
XP_060688264.1,COX11
XP_060701635.1,SLBP
NP_001185625.1,AIFM2
XP_060622509.1,JAGN1
XP_060614618.1,NTRK1
XP_060679657.1,VIRMA
NP_001412247.1,RNVU1-18
NP_001073601.1,TMPO
XP_060665107.1,USP2
XP_060704524.1,RPL27
XP_060639138.1,CD79B
NP_001026687.2,MOS
NP_001351207.1,IL6ST
XP_060549570.1,PPP3CC
XP_060705029.1,PSMB3
XP_060708202.1,ZMYND12
XP_060544965.1,KIF5A
NP_001402030.1,MTOR
XP_060685839.1,NASP
XP_060627679.1,ODF1
NP_001362249.1,APAF1
XP_060681576.1,MAP3K8
XP_060697662.1,VAV2
XP_060699771.1,GNAZ
XP_060689532.1,BCOR
XP_060468346.1,OAS2
NP_001091679.1,NRSN2-AS1
NP_001290185.1,NUDT21
XP_060629249.1,KCNC4
XP_060539504.1,FAM178B
NP_001403180.1,LYZL1
NP_780661.2,SOS1
KAK2116747.1,HNRNPA1L2
NP_001390600.1,TP63
XP_060616174.1,BUB1B
XP_060704454.1,KIAA0753
XP_060696656.1,XPO6
NP_001035784.1,CENPB
NP_001368928.1,H3C12
XP_060641223.1,ITSN2
XP_060711377.1,GNG3
NP_004422.2,PARD3
XP_060545728.1,CDK18
NP_999494.1,ARAF
XP_060698091.1,NRAP
XP_060698741.1,ZFYVE28
XP_060657745.1,MTO1
XP_060630727.1,DUSP22
XP_060659549.1,DDX23
NP_001295311.1,UNK
XP_060695710.1,FAM189A2
XP_060549686.1,ANXA11
XP_060702538.1,GAMT
XP_060689430.1,RBBP7
XP_060695110.1,CCND1
XP_060616468.1,SPINT1
XP_060691216.1,RAD18
XP_060616974.1,CDX1
XP_060684304.1,BAHD1
XP_060631758.1,EIF3E
XP_060629367.1,PRDX1
NP_001394375.1,EZH2
XP_060619772.1,DNAJA1
XP_060684337.1,CTNNA2
NP_001166442.1,ILK
XP_060615643.1,TTC23L
XP_060685408.1,SNW1
NP_001243019.1,VRK1
WP_273610364.1,CST4
NP_001166065.1,PDC
XP_060632222.1,EGR4
XP_060692390.1,PLAGL2
XP_060618996.1,LRP1
XP_060686439.1,TXNDC12
XP_060681988.1,EIF5B
XP_060616020.1,GREM1
XP_060679619.1,PDE4D
XP_060703477.1,DNALI1
XP_060549141.1,TMEM120A
XP_060712128.1,NUMBL
NP_001309123.1,PCM1
XP_060613313.1,ATP6V1G1
XP_060544478.1,P2RX5
CAK1298080.1,NQO2
XP_060698057.1,SEC23IP
XP_060700758.1,HGS
NP_579806.1,FCAR
NP_001239498.1,SERPINA1
XP_059921914.1,GPATCH4
XP_060704042.1,RABGEF1
WP_318175189.1,FST
XP_060677682.1,RPS7
XP_060549481.1,NEFM
XP_060676675.1,CCT3
XP_060540709.1,FXR2
XP_060638603.1,ACVR2B
NP_001398758.1,PRKRA
XP_060464105.1,SLC34A3
XP_060626384.1,IFNAR2
XP_060628607.1,SLC16A1
XP_060689746.1,ITSN1
WOT18199.1,CRY2
XP_060705491.1,AP2A1
XP_060685362.1,CCNK
XP_060692277.1,TTI1
XP_060694971.1,CTR9
NP_001161163.1,SIRT5
XP_060686443.1,POU4F2
NP_005142.1,HSP90AA1
XP_060628180.1,TOMM34
XP_060636784.1,DUSP3
XP_060626860.1,SLC7A1
XP_060706139.1,EXOC3
XP_060632574.1,GOLT1B
XP_060485604.1,GPRASP2
XP_060548629.1,SLC26A3
XP_060610388.1,EPAS1
XP_034281839.2,MINPP1
XP_060641617.1,STX2
XP_060609103.1,PYGL
XP_060687230.1,PMP22
XP_060684233.1,STK16
XP_060678305.1,SETD1A
XP_060548137.1,SLC16A2
XP_060698605.1,OPTN
XP_057370397.1,TBL1Y
XP_060548471.1,ESRRG
XP_060540731.1,TNFRSF1B
XP_060693141.1,UBE2D2
XP_060707226.1,F10
XP_060701380.1,MDM4
XP_060708297.1,GALNT2
XP_060700450.1,CEP131
NP_963847.1,FGL1
XP_060477720.1,FMO5
NP_001334.2,MYO6
NP_001399258.1,EEF2K
NP_001155325.1,SMARCB1
XP_060691731.1,SRGAP3
XP_060502084.1,KRT36
XP_034290474.2,CLTC
XP_060682191.1,RAB6A
XP_060693383.1,CANX
NP_001292363.1,GLI3
XP_060668475.1,LAMP1
XP_060697533.1,USP20
XP_060610584.1,PPP4R3B
XP_060610685.1,CHRNA2
XP_060706957.1,PRRC2A
XP_060686498.1,ATP6V0B
NP_109603.2,DYRK2
XP_034297768.1,TPM2
NP_998822.2,KLRC1
XP_060710926.1,DISC1
XP_060473679.1,ISG20
XP_060702145.1,FKTN
XP_060542825.1,ELF2
XP_060618583.1,ATN1
XP_060514674.1,TEAD4
XP_060637522.1,IGFBP1
NP_003798.2,TNFSF14
XP_060711843.1,POLR2G
XP_060691040.1,LSM3
KAK2491100.1,KRTAP26-1
NP_001400571.1,DDIT3
NP_001278770.1,IK
XP_060610263.1,PTPN14
XP_060636824.1,NGFR
XP_060622737.1,APOD
XP_060619009.1,TNS2
NP_001396910.1,GFER
XP_060640501.1,NR0B2
XP_060619953.1,RAB11FIP4
KAK3179985.1,AGO1
WP_002293615.1,CBS
Q9BYQ6.2,KRTAP4-11
XP_060618708.1,ZWINT
NP_001362509.1,PRKACB
XP_060623100.1,TMPRSS3
XP_060698708.1,UBE2H
XP_060698535.1,CCDC146
XP_060676927.1,TFCP2
XP_060542699.1,PDHA1
XP_060541258.1,PLOD1
XP_060636963.1,ATP6V0A1
XP_060707372.1,STX18
XP_060148389.1,KRBOX4
XP_060676663.1,GATAD2B
XP_060642634.1,CDR2
XP_060677302.1,PRIM2
NP_001409.3,EIF4E
XP_060621733.1,GNAI2
XP_060706110.1,MYO5B
NP_006340.1,NR1D2
XP_060682508.1,PIBF1
XP_060703791.1,FKBP6
XP_060640667.1,PUM1
XP_060687259.1,TARBP1
XP_060616768.1,SPAG8
BEU04543.1,CRY1
XP_060680178.1,VPS41
NP_001304115.1,CDH1
XP_060700385.1,SLC25A46
XP_060622516.1,TADA3
XP_060546981.1,SLC39A2
XP_060688970.1,CCT8
XP_060682798.1,RPS3
XP_060620374.1,PKN1
XP_060683320.1,UBE2E3
XP_060540782.1,LRP10
XP_060694918.1,PSMA1
NP_001396490.1,PFKL
XP_060640372.1,NFKBID
XP_060705810.1,LARS2
XP_060693993.1,PSMD7
XP_060704306.1,YIPF3
XP_060678429.1,IRAK1
XP_060707491.1,ZNF330
XP_060697354.1,RHOBTB3
NP_001398795.1,SLC26A8
XP_060706065.1,NOD1
XP_060543715.1,LSP1
XP_060537773.1,TOP1MT
XP_060617333.1,GOLPH3
XP_060547457.1,SLC9A1
XP_060708545.1,MEGF8
XP_060496884.1,ACP3
BEU00925.1,COPB2
NP_001406049.1,OMA1
XP_060640110.1,KPNA6
XP_060711604.1,STIP1
NP_001306149.1,SYVN1
NP_001394379.1,AXIN1
XP_058413039.1,ELOA2
XP_060538972.1,EXOC6
XP_060704812.1,MED1
XP_060612320.1,UTP14A
XP_060702436.1,CHAF1A
NP_001316678.1,NECAB2
XP_060703343.1,SNRPC
XP_060619675.1,THAP1
XP_060686293.1,DHX9
XP_060710883.1,GIPC1
XP_060681179.1,NKTR
XP_060633840.1,STIM2
XP_060637055.1,TCAP
XP_060676909.1,BLOC1S1
NP_004354.3,CEACAM5
NP_001266569.1,NDUFS3
XP_060685168.1,NIN
XP_060485358.1,PNMA1
XP_060699980.1,MSH3
NP_001401106.1,CD4
XP_034263950.1,FCER1G
NP_001276462.1,CREM
XP_060680051.1,LAPTM4B
XP_060549690.1,SLC4A2
XP_060704603.1,NR1D1
XP_060699910.1,RAD17
XP_060697807.1,HK1
NP_000035.2,KAT7
XP_060699436.1,SNAP29
XP_060681757.1,CEP126
XP_060693407.1,GPX3
XP_060700612.1,MRPL58
XP_060708721.1,RABAC1
XP_060626666.1,ZPLD1
XP_060682733.1,CDK8
XP_060711857.1,TRAF3IP2
XP_060692976.1,B4GALT7
NP_001934.2,DSG1
XP_060707470.1,GUCY1B1
XP_060688651.1,PIN4
NP_001407269.1,ANK2
XP_060513670.1,AQP6
NP_001188311.1,IFITM3
NP_056641.2,FOXL2
NP_001266473.1,NDUFV1
XP_060622904.1,GJA8
XP_060620116.1,CACNB3
XP_060255195.1,ZNF324
XP_060692130.1,EDEM2
NP_056565.1,NEU3
XP_060629184.1,TEAD3
XP_060679329.1,DCAF13
NP_000575.1,CXCL8
XP_060627502.1,IL10
XP_060618124.1,UBQLN1
NP_001273335.1,GHR
XP_060685437.1,FOXN3
XP_060685384.1,ALDH6A1
P43360.1,MAGEA6
XP_060548636.1,DYRK4
XP_060637108.1,RUNDC3A
XP_060693086.1,UBTD2
XP_060703279.1,WASF2
XP_060485986.1,TNFSF9
XP_060693612.1,TMEM231
NP_990449.2,HSD3B2
XP_060617918.1,AP3S1
XP_060699912.1,CRYBA4
XP_060678683.1,ARFGEF1
XP_060680215.1,EMC2
XP_060539458.1,TBC1D25
XP_034272762.2,TNNI2
XP_060681660.1,EXOSC4
NP_001411283.1,RNU6-5P
XP_060542206.1,EXPH5
XP_060684525.1,SYT16
XP_060680357.1,THOC1
XP_060641216.1,SPECC1L
XP_060467424.1,JRK
XP_060644101.1,TSHZ3
NP_001280582.1,RAB7A
XP_060684374.1,CFL2
NP_001156757.1,PRMT8
XP_060701387.1,PRELP
XP_004366108.1,CYB5B
XP_060545820.1,PACSIN1
XP_060698163.1,TAF5
XP_060685592.1,DCAF12
XP_060703367.1,SLC30A2
XP_060694124.1,SLC12A4
XP_060508523.1,ZNF331
NP_001368856.1,ABCG2
XP_060693078.1,ABLIM3
NP_001087433.1,MAST3
XP_002695852.3,MYH4
XP_060610659.1,ADCY3
XP_060636583.1,VWA5A
XP_060618685.1,TNKS
XP_060677037.1,NEMP1
XP_060624340.1,TSPOAP1
XP_060549039.1,CYTH3
NP_032548.2,LTF
XP_060692812.1,CAMLG
XP_060704020.1,MRM1
XP_060704854.1,PSMD3
XP_060681104.1,PTPRN2
XP_060693601.1,CDK10
XP_060702173.1,CERS1
XP_060492508.1,H3-4
XP_060700053.1,C22orf39
Q07541.1,PSG1
XP_060626611.1,C3orf52
XP_060681663.1,TONSL
XP_060470017.1,SERPINB13
KAK1329696.1,FAM71E2
XP_060684314.1,SRP14
XP_060712664.1,BMP10
XP_060692143.1,SRXN1
XP_060692245.1,NELFCD
XP_060540688.1,GIGYF1
KAK3251158.1,FPR2
XP_060620363.1,TMC6
XP_060709908.1,IQGAP1
XP_060543000.1,SEPTIN11
XP_060694277.1,CNOT1
XP_060705956.1,SSR1
XP_060683423.1,RAB5B
XP_060702310.1,UBA6
XP_060684763.1,MTA1
XP_060619859.1,ERBB3
NP_001013385.3,ULK1
XP_060685072.1,PRORP
XP_060689281.1,THRAP3
NP_035488.1,ZC3H11A
XP_060610048.1,NFKBIE
XP_060677187.1,TPD52L1
XP_060707366.1,DAPP1
NP_001306070.1,EPHB1
NP_001338412.1,TRPC1
NP_001400862.1,NUF2
WP_224560641.1,CA3
NP_001408087.1,RUNX1
NP_001248745.1,PDPK2P
XP_060685487.1,ZBTB1
XP_060485908.1,PLIN3
XP_060700231.1,TVP23B
P60409.3,KRTAP10-7
NP_620583.1,CCN6
XP_034262626.2,COPS7B
XP_060470548.1,TRIM38
XP_060626701.1,TOMM70
XP_060634976.1,TRPC3
XP_060689182.1,ATP5PO
XP_060683330.1,FRZB
XP_060644257.1,ATXN1L
XP_060642441.1,CPB2
XP_060616901.1,TRIM14
NP_001245225.1,FBP1
XP_060640442.1,EXTL1
XP_060626354.1,RCAN1
XP_060507135.1,SERTAD3
XP_060697585.1,ZER1
XP_060548726.1,SRRM2
NP_001028431.2,MICU1
NP_001317261.1,CD27
XP_060610162.1,TMEM63A
XP_034286771.2,RXRB
XP_060510783.1,NAA11
XP_060614001.1,ECM1
XP_060544973.1,R3HDM2
XP_060624389.1,CDKN1C
WP_318216691.1,NMT1
XP_060687987.1,SOX3
XP_060631179.1,TAF4B
XP_060628938.1,PTPRN
XP_060630251.1,PCDH1
NP_001304950.1,APOA1-AS
XP_060470600.1,BTN1A1
XP_060680398.1,DECR1
XP_060704199.1,MNT
XP_014948663.2,GNAQ
XP_034279179.1,DKKL1
NP_001272843.1,CDH8
XP_060702595.1,CIB3
XP_060683535.1,RALGDS
XP_060544613.1,NDEL1
XP_060546434.1,SH3GL2
XP_060708591.1,HAUS5
NP_001358942.1,TMEM86B
XP_060711617.1,POLR1C
XP_060538207.1,CTNNA3
NP_001393670.1,FGF14
XP_060608818.1,COL9A1
XP_034259764.1,SLC14A1
XP_060508072.1,ZBTB32
XP_060544606.1,TECR
XP_060702111.1,RNF126
XP_060488306.1,ZNF41
XP_060712716.1,TIA1
XP_060685829.1,EBNA1BP2
XP_060629939.1,TLCD4
NP_001186616.2,FADD
XP_060635197.1,BMPR1B
XP_060681203.1,DHX15
XP_060544639.1,SEPTIN9
XP_059105759.1,ZNF479
BET89471.1,CSTA
XP_060506545.1,CES3
XP_060620290.1,NPTX1
XP_060547576.1,SKAP1
XP_060537944.1,ASPH
XP_060540927.1,AP2M1
NP_001407349.1,NEK4
XP_060614229.1,STX5
XP_060707768.1,RUFY3
NP_001889.2,CST1
NP_004878.3,WFDC2
NP_001341957.1,PLCL1
XP_060681902.1,MYCBP2
XP_060640606.1,ID3
XP_060697787.1,PPRC1
XP_060681393.1,NUP42
6EAQ_C,FCGR3B
XP_060704912.1,PLEKHM1
XP_060700507.1,JMJD6
NP_001063.2,UGT2B7
NP_001266570.1,NDUFV2
KAK1329805.1,ZNF552
XP_060480131.1,ALPI
NP_001038348.1,CSE1L
XP_060712208.1,SLC1A5
BEU03916.1,ISCU
NP_003111.2,LINC01004
XP_060686299.1,SMG7
XP_060690662.1,ALG3
NP_951031.2,FOXO4
NP_001334114.1,VASP
XP_060688767.1,NYX
XP_060695470.1,POT1
XP_060677008.1,CD63
XP_060697102.1,PSMD5
XP_060696135.1,NUBP2
XP_060622460.1,PRKAR2A
XP_060696521.1,EPN2
XP_060693494.1,TMED7
XP_060638831.1,CXCR6
WP_136903220.1,HAL
XP_048330081.2,MUS81
NP_001341623.1,TRIM22
NP_001392661.1,BCL11A
XP_060711925.1,DPF1
XP_060618800.1,CTDSP2
NP_001273111.1,ADAMTS2
NP_001018090.1,FSHB
NP_001273299.1,SSBP3
XP_060637427.1,PTPN3
XP_060641870.1,CLDN5
XP_060636210.1,SEPTIN1
XP_060612148.1,PRPS1
XP_060687534.1,USP34
XP_060677385.1,EPM2A
XP_060693651.1,PDCD5
XP_060539767.1,PFKP
NP_001288074.1,TRIM69
XP_060610782.1,HADHA
XP_060690363.1,TM4SF4
NP_005850.1,IGFBP3
XP_060634624.1,ACSL1
NP_006754.1,BTG2
XP_060514467.1,SLC2A3
NP_001157865.1,PHF1
XP_060699663.1,MTMR3
XP_015899842.3,CCR1
XP_060712688.1,ASH2L
XP_060679041.1,DERL1
NP_001412214.1,DIO3
XP_060704424.1,ATE1
NP_004477.5,USO1
XP_060541233.1,CLDN7
XP_060694830.1,TALDO1
NP_003946.3,SOCS3
XP_060681621.1,HNRNPDL
XP_034287638.1,ARPC4
XP_060624238.1,NPM3
XP_060710584.1,PPP2R2A
NP_001365191.1,DLEU1
XP_060707908.1,NOC2L
NP_001365853.1,GABRG3
NP_001317618.1,PIP5K1A
XP_060614463.1,PMF1
XP_060706357.1,AIF1L
XP_060619107.1,GPKOW
WP_318182475.1,PPIA
XP_060550541.1,GTPBP1
XP_060641903.1,NPAS1
XP_060686040.1,RABGAP1L
XP_060690512.1,PLOD2
XP_060705359.1,L3MBTL2
XP_060631595.1,FSBP
NP_444375.2,PCDHB14
XP_060640272.1,NECTIN2
XP_060550244.1,CGN
XP_060709054.1,BLM
NP_001389929.1,NCOA4
P0DTE8.1,AMY1C
XP_060549224.1,PPM1D
XP_060629824.1,IGFBP5
XP_060689641.1,CEP97
XP_060707265.1,GCFC2
NP_062530.2,BCL2L1
XP_060680029.1,KIF9
XP_060689206.1,ATG101
NP_071899.1,SOX4
XP_060694100.1,TENT4B
XP_060680200.1,EPDR1
NP_001409070.1,ARNT
XP_060642050.1,ERP29
XP_060682727.1,RNF6
XP_060636808.1,DLX3
XP_060627139.1,PICALM
XP_060696990.1,FUT7
XP_060637974.1,ANKRD28
XP_034267369.1,SLC12A6
XP_060691769.1,IP6K1
NP_055739.2,ATG14
XP_060631788.1,EIF3H
XP_060682800.1,RELT
NP_034916.1,PYHIN1
XP_060620829.1,RAC3
NP_254280.1,H2AW
XP_060550533.1,KCTD17
XP_060690845.1,SH3RF1
XP_060466850.1,NXT1
XP_060707986.1,CLCN6
XP_060541617.1,ALDH3A2
XP_060687700.1,NINL
XP_060539897.1,GPC4
NP_004032.2,CHRM2
XP_060683689.1,CPS1
XP_060683634.1,IKZF2
XP_060682366.1,PGAP2
XP_060611628.1,NR2F2
XP_060461505.1,THRSP
XP_060642097.1,CORO1C
XP_060470038.1,CDH19
XP_060680900.1,CMTM6
XP_060705973.1,ZDHHC11
NP_001295156.1,DNAJB1
XP_060619692.1,ATP5ME
XP_060610251.1,PPP2R5E
XP_060679220.1,GNL3L
XP_060691708.1,BORCS6
DBA13419.1,IGHG2
XP_060640128.1,MARCKSL1
XP_060619903.1,TUBA1A
XP_060684724.1,INO80
XP_060680507.1,POP1
XP_060692352.1,ARFGAP1
XP_060712416.1,NUDCD3
NP_766536.2,GCNT2
XP_060694427.1,PHLDA2
XP_060618873.1,HOXC6
NP_075012.1,GEMIN5
XP_060643709.1,SLC18A1
XP_060693405.1,DCTN4
XP_060710079.1,ECHS1
XP_060633506.1,GNS
XP_060611611.1,SV2B
XP_060699473.1,MVK
XP_060688722.1,RBM41
XP_060545721.1,PFKFB2
XP_060711269.1,PBX4
NP_001026232.2,SPAST
XP_060698622.1,TAF3
XP_060690699.1,RPL35A
XP_060696019.1,KDM5A
WP_318012205.1,CA14
XP_060704405.1,SMG6
NP_001153119.1,CNTNAP2
XP_060642316.1,FBXW11
XP_060710465.1,RANGRF
XP_060704741.1,ODAD4
XP_060491881.1,PCDHGC3
XP_060639427.1,MTERF1
XP_060590175.1,RNF144A
XP_060676551.1,DAP3
XP_034281916.2,WBP1
XP_060548634.1,AKAP3
XP_060492193.1,IL5
XP_060711538.1,SRP9
XP_060681092.1,LARP4B
XP_060625116.1,AP3M1
XP_060623766.1,PCOLCE2
XP_060685733.1,PIK3C3
XP_060685954.1,CDC7
XP_059732026.1,BCS1L
NP_115807.1,SLC35F2
NP_001373738.1,MAK
XP_060687357.1,LRPPRC
XP_060486052.1,CCL25
XP_060487573.1,IL5RA
XP_060696037.1,LRRIQ1
NP_001397589.1,ADAR
NP_001624.1,MPO
NP_079380.2,DBF4B
XP_060618633.1,NCAPD2
XP_060684414.1,WDHD1
XP_060689271.1,AP1S2
XP_060708168.1,DFFB
XP_060540224.1,MAGI1
XP_060543568.1,AMBRA1
XP_060681425.1,NDUFA4
NP_001264152.1,TAGLN2
NP_001374151.1,LCE4A
NP_631885.1,SATB2
XP_060684449.1,CDCA4
NP_001338742.1,ARNTL
NP_005274.1,XCR1
XP_060460541.1,MMP7
XP_060547878.1,VPS37B
XP_060686858.1,HAAO
XP_060628770.1,SLC39A4
XP_060686524.1,LRRC41
XP_060679444.1,EXOG
XP_034281524.1,AGRP
